2020-05-12 18:43:32 INFO  ContextLoader:307 - Root WebApplicationContext: initialization started
2020-05-12 18:43:33 INFO  XmlWebApplicationContext:573 - Refreshing Root WebApplicationContext: startup date [Tue May 12 18:43:33 SGT 2020]; root of context hierarchy
2020-05-12 18:43:33 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [ApplicationContext.xml]
2020-05-12 18:43:34 WARN  ClassPathMapperScanner:167 - No MyBatis mapper was found in '[com.aldroid.hormid.mapper]' package. Please check your configuration.
2020-05-12 18:43:35 INFO  PropertyPlaceholderConfigurer:172 - Loading properties file from class path resource [config.properties]
2020-05-12 18:43:36 INFO  DriverManagerDataSource:133 - Loaded JDBC driver: oracle.jdbc.driver.OracleDriver
2020-05-12 18:43:36 INFO  ContextLoader:347 - Root WebApplicationContext: initialization completed in 4015 ms
2020-05-12 18:43:37 INFO  DispatcherServlet:488 - FrameworkServlet 'spring': initialization started
2020-05-12 18:43:37 INFO  XmlWebApplicationContext:573 - Refreshing WebApplicationContext for namespace 'spring-servlet': startup date [Tue May 12 18:43:37 SGT 2020]; parent: Root WebApplicationContext
2020-05-12 18:43:37 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from ServletContext resource [/WEB-INF/spring-servlet.xml]
2020-05-12 18:43:37 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [spring-service.xml]
2020-05-12 18:43:41 INFO  RequestMappingHandlerAdapter:532 - Looking for @ControllerAdvice: WebApplicationContext for namespace 'spring-servlet': startup date [Tue May 12 18:43:37 SGT 2020]; parent: Root WebApplicationContext
2020-05-12 18:43:41 INFO  RequestMappingHandlerAdapter:532 - Looking for @ControllerAdvice: WebApplicationContext for namespace 'spring-servlet': startup date [Tue May 12 18:43:37 SGT 2020]; parent: Root WebApplicationContext
2020-05-12 18:43:41 INFO  SimpleUrlHandlerMapping:341 - Mapped URL path [/resources/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
2020-05-12 18:43:41 INFO  DispatcherServlet:507 - FrameworkServlet 'spring': initialization completed in 4605 ms
2020-05-12 18:47:10 INFO  ContextLoader:307 - Root WebApplicationContext: initialization started
2020-05-12 18:47:10 INFO  XmlWebApplicationContext:573 - Refreshing Root WebApplicationContext: startup date [Tue May 12 18:47:10 SGT 2020]; root of context hierarchy
2020-05-12 18:47:10 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [ApplicationContext.xml]
2020-05-12 18:47:14 WARN  ClassPathMapperScanner:167 - No MyBatis mapper was found in '[com.aldroid.hormid.mapper]' package. Please check your configuration.
2020-05-12 18:47:14 INFO  PropertyPlaceholderConfigurer:172 - Loading properties file from class path resource [config.properties]
2020-05-12 18:47:15 INFO  DriverManagerDataSource:133 - Loaded JDBC driver: oracle.jdbc.driver.OracleDriver
2020-05-12 18:47:15 INFO  ContextLoader:347 - Root WebApplicationContext: initialization completed in 5419 ms
2020-05-12 18:47:15 INFO  DispatcherServlet:488 - FrameworkServlet 'spring': initialization started
2020-05-12 18:47:15 INFO  XmlWebApplicationContext:573 - Refreshing WebApplicationContext for namespace 'spring-servlet': startup date [Tue May 12 18:47:15 SGT 2020]; parent: Root WebApplicationContext
2020-05-12 18:47:15 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from ServletContext resource [/WEB-INF/spring-servlet.xml]
2020-05-12 18:47:16 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [spring-service.xml]
2020-05-12 18:47:19 INFO  RequestMappingHandlerAdapter:532 - Looking for @ControllerAdvice: WebApplicationContext for namespace 'spring-servlet': startup date [Tue May 12 18:47:15 SGT 2020]; parent: Root WebApplicationContext
2020-05-12 18:47:20 INFO  RequestMappingHandlerAdapter:532 - Looking for @ControllerAdvice: WebApplicationContext for namespace 'spring-servlet': startup date [Tue May 12 18:47:15 SGT 2020]; parent: Root WebApplicationContext
2020-05-12 18:47:20 INFO  SimpleUrlHandlerMapping:341 - Mapped URL path [/resources/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
2020-05-12 18:47:20 INFO  DispatcherServlet:507 - FrameworkServlet 'spring': initialization completed in 4623 ms
2020-05-12 18:47:33 WARN  PageNotFound:1136 - No mapping found for HTTP request with URI [/HormidWeb/] in DispatcherServlet with name 'spring'
2020-05-12 18:48:24 WARN  PageNotFound:1136 - No mapping found for HTTP request with URI [/HormidWeb/test/error3] in DispatcherServlet with name 'spring'
2020-05-12 18:48:44 WARN  PageNotFound:1136 - No mapping found for HTTP request with URI [/HormidWeb/test] in DispatcherServlet with name 'spring'
2020-05-12 18:48:59 INFO  XmlWebApplicationContext:951 - Closing WebApplicationContext for namespace 'spring-servlet': startup date [Tue May 12 18:47:15 SGT 2020]; parent: Root WebApplicationContext
2020-05-12 18:50:39 INFO  ContextLoader:307 - Root WebApplicationContext: initialization started
2020-05-12 18:50:39 INFO  XmlWebApplicationContext:573 - Refreshing Root WebApplicationContext: startup date [Tue May 12 18:50:39 SGT 2020]; root of context hierarchy
2020-05-12 18:50:40 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [ApplicationContext.xml]
2020-05-12 18:50:40 WARN  ClassPathMapperScanner:167 - No MyBatis mapper was found in '[com.aldroid.hormid.mapper]' package. Please check your configuration.
2020-05-12 18:50:41 INFO  PropertyPlaceholderConfigurer:172 - Loading properties file from class path resource [config.properties]
2020-05-12 18:50:41 INFO  DriverManagerDataSource:133 - Loaded JDBC driver: oracle.jdbc.driver.OracleDriver
2020-05-12 18:50:41 INFO  ContextLoader:347 - Root WebApplicationContext: initialization completed in 2313 ms
2020-05-12 18:50:42 INFO  DispatcherServlet:488 - FrameworkServlet 'spring': initialization started
2020-05-12 18:50:42 INFO  XmlWebApplicationContext:573 - Refreshing WebApplicationContext for namespace 'spring-servlet': startup date [Tue May 12 18:50:42 SGT 2020]; parent: Root WebApplicationContext
